Theta;T;Energy
-12.59;2.00;414.575697
-12.49;2.00;401.279785
-12.39;2.00;388.304272
-12.29;2.00;375.644000
-12.19;2.00;363.293854
-12.09;2.00;351.248759
-11.99;2.00;339.503683
-11.89;2.00;328.053634
-11.79;2.00;316.893664
-11.69;2.00;306.018863
-11.59;2.00;295.424368
-11.49;2.00;285.105351
-11.39;2.00;275.057031
-11.29;2.00;265.274666
-11.19;2.00;255.753557
-11.09;2.00;246.489044
-10.99;2.00;237.476511
-10.89;2.00;228.711383
-10.79;2.00;220.189127
-10.69;2.00;211.905250
-10.59;2.00;203.855303
-10.48;2.00;196.034877
-10.38;2.00;188.439603
-10.28;2.00;181.065158
-10.18;2.00;173.907257
-10.08;2.00;166.961657
-9.98;2.00;160.224158
-9.88;2.00;153.690601
-9.78;2.00;147.356867
-9.68;2.00;141.218882
-9.58;2.00;135.272611
-9.48;2.00;129.514060
-9.38;2.00;123.939279
-9.28;2.00;118.544357
-9.18;2.00;113.325428
-9.08;2.00;108.278665
-8.98;2.00;103.400282
-8.88;2.00;98.686536
-8.78;2.00;94.133726
-8.68;2.00;89.738192
-8.58;2.00;85.496315
-8.48;2.00;81.404518
-8.38;2.00;77.459266
-8.28;2.00;73.657065
-8.18;2.00;69.994464
-8.08;2.00;66.468051
-7.98;2.00;63.074458
-7.88;2.00;59.810357
-7.78;2.00;56.672462
-7.68;2.00;53.657531
-7.58;2.00;50.762358
-7.47;2.00;47.983785
-7.37;2.00;45.318692
-7.27;2.00;42.764000
-7.17;2.00;40.316673
-7.07;2.00;37.973718
-6.97;2.00;35.732180
-6.87;2.00;33.589149
-6.77;2.00;31.541754
-6.67;2.00;29.587168
-6.57;2.00;27.722603
-6.47;2.00;25.945315
-6.37;2.00;24.252600
-6.27;2.00;22.641797
-6.17;2.00;21.110284
-6.07;2.00;19.655484
-5.97;2.00;18.274860
-5.87;2.00;16.965915
-5.77;2.00;15.726195
-5.67;2.00;14.553290
-5.57;2.00;13.444827
-5.47;2.00;12.398477
-5.37;2.00;11.411954
-5.27;2.00;10.483011
-5.17;2.00;9.609444
-5.07;2.00;8.789089
-4.97;2.00;8.019827
-4.87;2.00;7.299576
-4.77;2.00;6.626300
-4.67;2.00;5.998002
-4.57;2.00;5.412727
-4.46;2.00;4.868561
-4.36;2.00;4.363634
-4.26;2.00;3.896114
-4.16;2.00;3.464215
-4.06;2.00;3.066188
-3.96;2.00;2.700329
-3.86;2.00;2.364973
-3.76;2.00;2.058499
-3.66;2.00;1.779327
-3.56;2.00;1.525917
-3.46;2.00;1.296772
-3.36;2.00;1.090437
-3.26;2.00;0.905497
-3.16;2.00;0.740579
-3.06;2.00;0.594353
-2.96;2.00;0.465530
-2.86;2.00;0.352862
-2.76;2.00;0.255142
-2.66;2.00;0.171206
-2.56;2.00;0.099931
-2.46;2.00;0.040235
-2.36;2.00;-0.008920
-2.26;2.00;-0.048534
-2.16;2.00;-0.079563
-2.06;2.00;-0.102922
-1.96;2.00;-0.119485
-1.86;2.00;-0.130083
-1.76;2.00;-0.135506
-1.66;2.00;-0.136504
-1.56;2.00;-0.133782
-1.45;2.00;-0.128008
-1.35;2.00;-0.119804
-1.25;2.00;-0.109753
-1.15;2.00;-0.098395
-1.05;2.00;-0.086230
-0.95;2.00;-0.073716
-0.85;2.00;-0.061267
-0.75;2.00;-0.049259
-0.65;2.00;-0.038024
-0.55;2.00;-0.027853
-0.45;2.00;-0.018997
-0.35;2.00;-0.011662
-0.25;2.00;-0.006015
-0.15;2.00;-0.002181
-0.05;2.00;-0.000243
0.05;2.00;-0.000243
0.15;2.00;-0.002181
0.25;2.00;-0.006015
0.35;2.00;-0.011662
0.45;2.00;-0.018997
0.55;2.00;-0.027853
0.65;2.00;-0.038024
0.75;2.00;-0.049259
0.85;2.00;-0.061267
0.95;2.00;-0.073716
1.05;2.00;-0.086230
1.15;2.00;-0.098395
1.25;2.00;-0.109753
1.35;2.00;-0.119804
1.45;2.00;-0.128008
1.56;2.00;-0.133782
1.66;2.00;-0.136504
